disease,class_id,support,accuracy,f1
acanthosis nigricans,0,13,0.38461538461538464,0.5
acne,1,27,0.07407407407407407,0.08888888888888889
acne vulgaris,2,51,0.5294117647058824,0.5
acquired autoimmune bullous diseaseherpes gestationis,3,10,0.3,0.3157894736842105
acrodermatitis enteropathica,4,14,0.42857142857142855,0.4444444444444444
actinic keratosis,5,26,0.3076923076923077,0.3137254901960784
allergic contact dermatitis,6,64,0.34375,0.37606837606837606
aplasia cutis,7,10,0.2,0.25
basal cell carcinoma,8,70,0.44285714285714284,0.45925925925925926
basal cell carcinoma morpheiform,9,9,0.2222222222222222,0.21052631578947367
becker nevus,10,10,0.6,0.5714285714285714
behcets disease,11,8,0.375,0.375
calcinosis cutis,12,12,0.4166666666666667,0.5
cheilitis,13,15,0.4,0.42857142857142855
congenital nevus,14,10,0.3,0.3333333333333333
dariers disease,15,22,0.2727272727272727,0.3
dermatofibroma,16,12,0.5,0.42857142857142855
dermatomyositis,17,21,0.2857142857142857,0.24489795918367346
disseminated actinic porokeratosis,18,9,0.5555555555555556,0.5882352941176471
drug eruption,19,30,0.2,0.1935483870967742
drug induced pigmentary changes,20,10,0.0,0.0
dyshidrotic eczema,21,11,0.18181818181818182,0.23529411764705882
eczema,22,29,0.1724137931034483,0.18867924528301888
ehlers danlos syndrome,23,20,0.85,0.7083333333333334
epidermal nevus,24,14,0.2857142857142857,0.3076923076923077
epidermolysis bullosa,25,10,0.1,0.11764705882352941
erythema annulare centrifigum,26,13,0.46153846153846156,0.5
erythema elevatum diutinum,27,8,0.5,0.5333333333333333
erythema multiforme,28,35,0.42857142857142855,0.3488372093023256
erythema nodosum,29,11,0.45454545454545453,0.47619047619047616
factitial dermatitis,30,9,0.4444444444444444,0.5333333333333333
fixed eruptions,31,18,0.3333333333333333,0.36363636363636365
folliculitis,32,51,0.6862745098039216,0.5932203389830508
fordyce spots,33,16,0.6875,0.7096774193548387
granuloma annulare,34,32,0.40625,0.43333333333333335
granuloma pyogenic,35,11,0.5454545454545454,0.6
hailey hailey disease,36,27,0.8888888888888888,0.7868852459016393
halo nevus,37,11,0.36363636363636365,0.3333333333333333
hidradenitis,38,15,0.4666666666666667,0.5
ichthyosis vulgaris,39,9,0.1111111111111111,0.08333333333333333
incontinentia pigmenti,40,15,0.4,0.35294117647058826
juvenile xanthogranuloma,41,22,0.45454545454545453,0.43478260869565216
kaposi sarcoma,42,21,0.5714285714285714,0.6153846153846154
keloid,43,22,0.6363636363636364,0.6666666666666666
keratosis pilaris,44,12,0.3333333333333333,0.2962962962962963
langerhans cell histiocytosis,45,9,0.4444444444444444,0.38095238095238093
lentigo maligna,46,13,0.38461538461538464,0.5263157894736842
lichen amyloidosis,47,11,0.6363636363636364,0.5833333333333334
lichen planus,48,74,0.40540540540540543,0.47619047619047616
lichen simplex,49,14,0.5,0.5833333333333334
livedo reticularis,50,9,0.5555555555555556,0.5263157894736842
lupus erythematosus,51,62,0.5161290322580645,0.3422459893048128
lupus subacute,52,16,0.0625,0.058823529411764705
lyme disease,53,19,0.47368421052631576,0.4
lymphangioma,54,14,0.14285714285714285,0.2
malignant melanoma,55,17,0.11764705882352941,0.14814814814814814
melanoma,56,40,0.375,0.35294117647058826
milia,57,17,0.35294117647058826,0.3870967741935484
mucinosis,58,13,0.23076923076923078,0.3
mucous cyst,59,13,0.3076923076923077,0.2857142857142857
mycosis fungoides,60,27,0.5185185185185185,0.417910447761194
myiasis,61,9,0.5555555555555556,0.5882352941176471
naevus comedonicus,62,10,0.4,0.4444444444444444
necrobiosis lipoidica,63,18,0.6666666666666666,0.5581395348837209
nematode infection,64,38,0.6842105263157895,0.6753246753246753
neurodermatitis,65,11,0.09090909090909091,0.14285714285714285
neurofibromatosis,66,27,0.5185185185185185,0.5185185185185185
neurotic excoriations,67,11,0.18181818181818182,0.2857142857142857
neutrophilic dermatoses,68,55,0.509090909090909,0.5490196078431373
nevocytic nevus,69,12,0.3333333333333333,0.38095238095238093
nevus sebaceous of jadassohn,70,14,0.2857142857142857,0.2962962962962963
papilomatosis confluentes and reticulate,71,23,0.9130434782608695,0.8571428571428571
paronychia,72,8,0.625,0.45454545454545453
pediculosis lids,73,22,0.8636363636363636,0.7755102040816326
perioral dermatitis,74,9,0.3333333333333333,0.24
photodermatoses,75,51,0.3137254901960784,0.32653061224489793
pilar cyst,76,14,0.2857142857142857,0.3333333333333333
pilomatricoma,77,8,0.375,0.375
pityriasis lichenoides chronica,78,10,0.6,0.5217391304347826
pityriasis rosea,79,28,0.5714285714285714,0.64
pityriasis rubra pilaris,80,41,0.7804878048780488,0.7710843373493976
porokeratosis actinic,81,27,0.7407407407407407,0.8333333333333334
porokeratosis of mibelli,82,11,0.6363636363636364,0.6363636363636364
porphyria,83,19,0.2631578947368421,0.3333333333333333
port wine stain,84,9,0.2222222222222222,0.23529411764705882
prurigo nodularis,85,25,0.84,0.65625
psoriasis,86,99,0.4444444444444444,0.4230769230769231
pustular psoriasis,87,8,0.125,0.16666666666666666
pyogenic granuloma,88,18,0.2222222222222222,0.25
rhinophyma,89,14,0.7142857142857143,0.625
rosacea,90,15,0.13333333333333333,0.13333333333333333
sarcoidosis,91,51,0.27450980392156865,0.3076923076923077
scabies,92,51,0.5686274509803921,0.5523809523809524
scleroderma,93,47,0.23404255319148937,0.2894736842105263
scleromyxedema,94,15,0.5333333333333333,0.5161290322580645
seborrheic dermatitis,95,19,0.3684210526315789,0.4117647058823529
seborrheic keratosis,96,11,0.18181818181818182,0.23529411764705882
solid cystic basal cell carcinoma,97,9,0.1111111111111111,0.11764705882352941
squamous cell carcinoma,98,88,0.45454545454545453,0.46511627906976744
stasis edema,99,9,0.3333333333333333,0.35294117647058826
stevens johnson syndrome,100,17,0.4117647058823529,0.358974358974359
striae,101,10,0.1,0.15384615384615385
sun damaged skin,102,9,0.1111111111111111,0.18181818181818182
superficial spreading melanoma ssm,103,18,0.5,0.4090909090909091
syringoma,104,18,0.7222222222222222,0.6842105263157895
telangiectases,105,18,0.2222222222222222,0.2857142857142857
tick bite,106,10,0.1,0.1
tuberous sclerosis,107,21,0.5714285714285714,0.47058823529411764
tungiasis,108,23,0.9565217391304348,0.8301886792452831
urticaria,109,23,0.5217391304347826,0.42105263157894735
urticaria pigmentosa,110,17,0.29411764705882354,0.2631578947368421
vitiligo,111,24,0.2916666666666667,0.3783783783783784
xanthomas,112,8,0.125,0.2
xeroderma pigmentosum,113,11,0.7272727272727273,0.48484848484848486
