class_id,disease,precision,recall,f1-score,support
15,class_15,0.0,0.0,0.0,22.0
20,class_20,0.0,0.0,0.0,10.0
25,class_25,0.0,0.0,0.0,10.0
65,class_65,0.0,0.0,0.0,11.0
112,class_112,0.0,0.0,0.0,8.0
52,class_52,0.0666666666666666,0.0625,0.064516129032258,16.0
39,class_39,0.0833333333333333,0.1111111111111111,0.0952380952380952,9.0
99,class_99,0.1111111111111111,0.1111111111111111,0.1111111111111111,9.0
22,class_22,0.0975609756097561,0.1379310344827586,0.1142857142857142,29.0
1,class_1,0.125,0.1111111111111111,0.1176470588235294,27.0
9,class_9,0.1428571428571428,0.1111111111111111,0.125,9.0
21,class_21,0.25,0.0909090909090909,0.1333333333333333,11.0
97,class_97,0.1666666666666666,0.1111111111111111,0.1333333333333333,9.0
3,class_3,0.2,0.1,0.1333333333333333,10.0
106,class_106,0.25,0.1,0.1428571428571428,10.0
88,class_88,0.1666666666666666,0.1666666666666666,0.1666666666666666,18.0
102,class_102,0.5,0.1111111111111111,0.1818181818181818,9.0
90,class_90,0.1764705882352941,0.2,0.1875,15.0
74,class_74,0.1666666666666666,0.2222222222222222,0.1904761904761904,9.0
